,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
196,1483,315,6850000,137,0,2,45.67,50000.0,137,299.9781037880446,2018-03-28,3,1,28
197,1481,307,27880000,464,0,4,100.43,60086.20689655173,464,462.0133426267051,2018-04-14,4,2,14
198,1554,70,121200000,2020,18,14,39.53,60000.0,2002,5110.043005312421,2018-07-10,7,3,10
199,1485,141,2990000,26,0,2,14.94,115000.0,26,174.02945113788488,2018-05-26,5,2,26
200,1497,195,7760000,97,0,4,60.63,80000.0,97,159.98680521194132,2018-06-21,6,2,21
201,1481,35,12300000,123,0,1,73.65,100000.0,123,167.00610997963338,2018-03-29,3,1,29
202,1484,417,2400000,37,0,3,5.01,64864.864864864874,37,738.5229540918166,2018-05-26,5,2,26
203,1499,183,11280000,141,0,6,5.22,80000.0,141,2701.1494252873567,2018-07-25,7,3,25
204,1497,474,3120000,39,0,2,61.9,80000.0,39,63.0048465266559,2018-06-27,6,2,27
205,1564,489,4120000,34,0,3,26.98,121176.47058823529,34,126.01927353595256,2018-08-30,8,3,30
206,1483,262,25000000,250,0,3,52.41,100000.0,250,477.00820454111806,2018-04-27,4,2,27
207,1498,91,1200000,12,0,5,0.53,100000.0,12,2264.1509433962265,2018-07-29,7,3,29
208,1497,166,2030000,29,0,2,6.11,70000.0,29,474.6317512274959,2018-06-23,6,2,23
209,1494,524,12990000,109,0,5,18.47,119174.31192660551,109,590.1461829994586,2018-05-21,5,2,21
210,1562,247,1720000,37,0,2,10.51,46486.48648648649,37,352.04567078972406,2018-09-12,9,3,12
211,1559,210,6150000,123,0,2,89.13,50000.0,123,138.0006731740155,2018-08-28,8,3,28
212,1572,141,11400000,82,0,5,10.59,139024.39024390245,82,774.3153918791313,2018-09-28,9,3,28
213,1553,194,4600000,110,0,3,7.89,41818.181818181816,110,1394.1698352344738,2018-10-11,10,4,11
214,1498,286,1400000,20,0,1,8.0,70000.0,20,250.0,2018-07-29,7,3,29
215,1553,73,13680000,114,0,6,9.18,120000.0,114,1241.8300653594772,2018-10-03,10,4,3
216,1481,479,640000,8,0,1,4.73,80000.0,8,169.1331923890063,2018-05-21,5,2,21
217,1484,35,10300000,103,0,2,31.21,100000.0,103,330.02242870874716,2018-03-21,3,1,21
218,1576,243,1560000,26,0,4,3.48,60000.0,26,747.1264367816092,2018-10-15,10,4,15
219,1554,89,100090000,867,0,9,25.55,115444.05997693195,867,3393.3463796477504,2018-08-15,8,3,15
220,1483,321,3000000,120,0,1,27.52,25000.0,120,436.04651162790697,2018-05-08,5,2,8
221,1495,467,1900000,38,0,3,3.17,50000.0,38,1198.7381703470032,2018-06-09,6,2,9
